1,233,233,233,233,233,233,233,233,233,233,233,233,233,233
2,93,93,93,93,93,93,93,93,93,93,93,93,93,93
3,87,87,87,87,87,87,87,87,87,87,87,87,87,87
4,113,113,113,113,113,113,113,113,113,113,113,113,113,113
5,225,225,225,225,225,225,225,225,225,225,225,225,225,225
6,104,104,104,104,104,104,104,104,104,104,104,104,104,104
7,125,125,125,125,125,125,125,125,125,125,125,125,125,125
8,65,65,65,65,65,65,65,65,65,65,65,65,65,65
9,226,226,226,226,226,226,226,226,226,226,226,226,226,226
10,94,94,94,94,94,94,94,94,94,94,94,94,94,94
11,89,89,89,89,89,89,89,89,89,89,89,89,89,89
12,63,63,63,63,63,63,63,63,63,63,63,63,63,63
13,236,236,236,236,236,236,236,236,236,236,236,236,236,236
14,59,59,59,59,59,59,59,59,59,59,59,59,59,59
15,141,141,141,141,141,141,141,141,141,141,141,141,141,141
16,39,39,39,39,39,39,39,39,39,39,39,39,39,39
17,89,89,89,89,89,89,89,89,89,89,89,89,89,89
18,94,94,94,94,94,94,94,94,94,94,94,94,94,94
19,154,154,154,154,154,154,154,154,154,154,154,154,154,154
20,144,144,144,144,144,144,144,144,144,144,144,144,144,144
21,86,86,86,86,86,86,86,86,86,86,86,86,86,86
22,120,120,120,120,120,120,120,120,120,120,120,120,120,120
23,38,38,38,38,38,38,38,38,38,38,38,38,38,38
24,74,74,74,74,74,74,74,74,74,74,74,74,74,74
25,119,119,119,119,119,119,119,119,119,119,119,119,119,119
26,65,65,65,65,65,65,65,65,65,65,65,65,65,65
27,87,87,87,87,87,87,87,87,87,87,87,87,87,87
28,70,70,70,70,70,70,70,70,70,70,70,70,70,70
29,118,118,118,118,118,118,118,118,118,118,118,118,118,118
30,49,49,49,49,49,49,49,49,49,49,49,49,49,49
31,361,361,361,361,361,361,361,361,361,361,361,361,361,361
32,397,397,397,397,397,397,397,397,397,397,397,397,397,397
33,62,62,62,62,62,62,62,62,62,62,62,62,62,62
34,386,386,386,386,386,386,386,386,386,386,386,386,386,386
35,133,133,133,133,133,133,133,133,133,133,133,133,133,133
36,65,65,65,65,65,65,65,65,65,65,65,65,65,65
37,212,212,212,212,212,212,212,212,212,212,212,212,212,212
38,93,93,93,93,93,93,93,93,93,93,93,93,93,93
39,220,220,220,220,220,220,220,220,220,220,220,220,220,220
40,86,86,86,86,86,86,86,86,86,86,86,86,86,86
41,182,182,182,182,182,182,182,182,182,182,182,182,182,182
42,82,82,82,82,82,82,82,82,82,82,82,82,82,82
43,76,76,76,76,76,76,76,76,76,76,76,76,76,76
44,66,66,66,66,66,66,66,66,66,66,66,66,66,66
45,33,33,33,33,33,33,33,33,33,33,33,33,33,33
46,167,167,167,167,167,167,167,167,167,167,167,167,167,167
47,138,138,138,138,138,138,138,138,138,138,138,138,138,138
48,406,406,406,406,406,406,406,406,406,406,406,406,406,406
49,445,445,445,445,445,445,445,445,445,445,445,445,445,445
50,68,68,68,68,68,68,68,68,68,68,68,68,68,68
51,61,61,61,61,61,61,61,61,61,61,61,61,61,61
52,63,63,63,63,63,63,63,63,63,63,63,63,63,63
53,120,120,120,120,120,120,120,120,120,120,120,120,120,120
54,326,326,326,326,326,326,326,326,326,326,326,326,326,326
55,338,338,338,338,338,338,338,338,338,338,338,338,338,338
56,68,68,68,68,68,68,68,68,68,68,68,68,68,68
57,259,259,259,259,259,259,259,259,259,259,259,259,259,259
58,1624,1624,1624,1624,1624,1624,1624,1624,1624,1624,1624,1624,1624,1624
